CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Churn Reason,Churn Value
5196-WPYOW,1.0,United States,California,Paso Robles,93446.0,"35.634222, -120.728341",35.634222,-120.728341,Male,No,Yes,Yes,67.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,60.05,3994.05,6148.0,,0.0
8189-HBVRW,1.0,United States,California,Los Angeles,90005.0,"34.059281, -118.30742",34.059281,-118.30742,Female,No,No,No,53.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,,No,No,Month-to-month,No,Electronic check,90.8,4921.2,5249.0,,0.0
4091-TVOCN,1.0,United States,California,Potrero,91963.0,"32.619465, -116.593605",32.619465,-116.593605,Male,No,No,No,48.0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),78.75,3682.45,2257.0,,0.0
9603-OAIHC,1.0,United States,California,Palmdale,93551.0,"34.613476, -118.256358",34.613476,-118.256358,Male,Yes,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,70.05,2469.0,,0.0
8647-SDTWQ,1.0,United States,California,Hood,95639.0,"38.375325, -121.507935",38.375325,-121.507935,Male,No,Yes,Yes,57.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.3,4018.35,4133.0,,0.0
4817-QRJSX,1.0,United States,California,Clovis,93612.0,"36.814539, -119.711868",36.814539,-119.711868,Female,No,No,No,10.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.0,818.05,2946.0,Attitude of support person,1.0
1518-OMDIK,1.0,United States,California,Rohnert Park,94928.0,"38.34719, -122.697822",38.34719,-122.697822,Male,No,Yes,No,33.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.55,1462.6,2422.0,,0.0
3349-ANQNH,1.0,United States,California,Del Rey,93616.0,"36.657462, -119.595293",36.657462,-119.595293,Female,Yes,No,No,59.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.5,5890,5513.0,,0.0
4291-HYEBC,1.0,United States,California,Weldon,93283.0,"35.55647, -118.244914",35.55647,-118.244914,Female,Yes,Yes,Yes,28.0,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,39.1,1096.6,2305.0,,0.0
3200-MNQTF,1.0,United States,California,Raisin City,93652.0,"36.594542, -119.905245",36.594542,-119.905245,Male,No,Yes,No,67.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4677.1,4361.0,,0.0
2453-SAFNS,1.0,United States,California,Likely,96116.0,"41.266008, -120.490731",41.266008,-120.490731,Female,Yes,No,No,54.0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,72.1,3886.05,4277.0,,0.0
1872-EBWSC,1.0,United States,California,Berkeley,94702.0,"37.866009, -122.286228",37.866009,-122.286228,Female,No,No,No,29.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,617.35,4840.0,,0.0
8234-GSZYK,1.0,United States,California,Albion,95410.0,"39.225694, -123.717354",39.225694,-123.717354,Male,No,No,No,43.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.45,1110.05,3881.0,,0.0
6691-CCIHA,1.0,United States,California,Joshua Tree,92252.0,"34.167236, -116.281511",34.167236,-116.281511,Female,No,Yes,No,62.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,84.95,5150.55,6307.0,,0.0
3256-EZDBI,1.0,United States,California,Greenville,95947.0,"40.160386, -120.835428",40.160386,-120.835428,Male,Yes,Yes,No,51.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),29.45,1459.35,6285.0,,0.0
2754-XBHTB,1.0,United States,California,Amador City,95601.0,"38.431407, -120.8421",38.431407,-120.8421,Female,No,No,No,9.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.65,714.15,3847.0,Competitor made better offer,1.0
3996-ZNWYK,1.0,United States,California,Sacramento,95832.0,"38.445939, -121.496855",38.445939,-121.496855,Male,Yes,Yes,Yes,71.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.8,1388.45,5819.0,,0.0
5055-MGMGF,1.0,United States,California,Half Moon Bay,94019.0,"37.45567, -122.407992",37.45567,-122.407992,Female,No,Yes,No,65.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,6914.95,5313.0,,0.0
4115-BNPJY,1.0,United States,California,National City,91950.0,"32.67102, -117.095235",32.67102,-117.095235,Male,No,Yes,No,29.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,75.55,2054.4,5625.0,,
2587-EKXTS,1.0,United States,California,San Diego,92116.0,"32.765299, -117.122565",32.765299,-117.122565,Male,No,No,No,44.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,111.5,4915.15,2827.0,,0.0
3427-GGZZI,1.0,United States,California,Midpines,95345.0,"37.581496, -119.972762",37.581496,-119.972762,Female,No,Yes,No,19.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.1,1620.8,3624.0,,0.0
1898-JSNDC,1.0,United States,California,Elk Grove,95758.0,"38.35363, -121.44195",38.35363,-121.44195,Female,No,No,No,39.0,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),58.6,2224.5,5662.0,,0.0
3967-KXAPS,1.0,United States,California,Los Angeles,90061.0,"33.92128, -118.274186",33.92128,-118.274186,Male,No,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),92.3,6719.9,5136.0,,0.0
2995-UPRYS,1.0,United States,California,Long Beach,90802.0,"33.752524, -118.210737",33.752524,-118.210737,Female,Yes,Yes,No,40.0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.2,4062.2,5098.0,Moved,1.0
4024-CSNBY,1.0,United States,California,Mount Hamilton,95140.0,"37.382909, -121.634151",37.382909,-121.634151,Female,No,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),94.25,6849.75,6295.0,,0.0
9639-BUJXT,1.0,United States,California,Santee,92071.0,"32.847336, -116.997605",32.847336,-116.997605,Male,No,No,No,63.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.5,1328.15,5997.0,,0.0
6351-SCJKT,1.0,United States,California,Santa Cruz,95062.0,"36.974575, -121.991149",36.974575,-121.991149,Male,No,No,No,3.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,41.35,107.25,5534.0,,0.0
8901-UPRHR,1.0,United States,California,La Grange,95329.0,"37.666587, -120.411517",37.666587,-120.411517,Female,No,Yes,Yes,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.2,7711.45,6130.0,,0.0
6289-CPNLD,1.0,United States,California,Temecula,92591.0,"33.540604, -117.10909",33.540604,-117.10909,Male,No,Yes,No,33.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,73.9,2405.05,5374.0,Attitude of service provider,1.0
1346-PJWTK,1.0,United States,California,Corona,92880.0,"33.918043, -117.617809",33.918043,-117.617809,Male,No,Yes,No,61.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.15,5731.85,4806.0,,0.0
4693-VWVBO,1.0,United States,California,Valley Springs,95252.0,"38.156971, -120.849231",38.156971,-120.849231,Female,No,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.55,61.05,3889.0,,0.0
7267-FRMJW,1.0,United States,California,Sierra Madre,91024.0,"34.168686, -118.057505",34.168686,-118.057505,Female,No,Yes,Yes,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,486.05,5306.0,,0.0
0027-KWYKW,1.0,United States,California,Alpaugh,93201.0,"35.869626, -119.498771",35.869626,-119.498771,Female,No,Yes,Yes,23.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.75,1849.95,3585.0,,0.0
4895-TMWIR,1.0,United States,California,Indian Wells,92210.0,"33.537646, -116.291089",33.537646,-116.291089,Male,Yes,Yes,No,11.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,5888.0,Limited range of services,1.0
5197-YPYBZ,1.0,United States,California,Laguna Niguel,92677.0,"33.529047, -117.701175",33.529047,-117.701175,Female,No,Yes,Yes,12.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,No,Credit card (automatic),25.25,274.7,2646.0,,0.0
7203-OYKCT,1.0,United States,California,Palo Verde,92266.0,"33.3249, -114.758334",33.3249,-114.758334,Male,No,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.95,7544.3,5760.0,,0.0
